,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
41,Bosrank-Clematis-flammula,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_108_src.jpg']",,Ja,Ja,,
42,Bosrank-Clematis-rehderiana,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3938_src.jpg']",,Ja,Ja,,
43,Brandkruid-Phlomis-fruticosa,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3550_src.jpg']",,Ja,,,
44,Brandkruid-Phlomis-russeliana,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3493_src.jpg']",,Ja,,,
45,Broodboom-Aucuba-japonica-Angelon,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3904_src.jpg']",Ja,,,,
46,Broodboom-Aucuba-japonica-Golden-king,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/aucuba-broodboom-golden-king.jpg']",Ja,,,,
47,Broodboom-Aucuba-japonica-Variegata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-6047_1.jpg']",Ja,,,,
48,Bruine-beuk-Fagus-sylvatica-Atropunicea-boom,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-20200522-WA0038.jpg']",,,,Ja,
49,rode-bruine-beukenhaag-fagus-sylvatica/,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/rsz_20200517_081906.jpg']",Ja,,,Ja,
50,Buxus-sempervirens-Buxushaag-Palmboompje,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Buxus-haag.jpg']",,,,Ja,
51,Camelia-Camellia-japonica-Lady-Campbell,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG_1955.jpg']",,Ja,Ja,,
52,Canadese-krentenboompje-Amelanchier-canadensis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG_9159.jpg']",Ja,,,,
